asof_date,rooms,z_score,is_z_anomaly,is_iqr_anomaly,rooms_prev,daily_change,daily_change_pct,is_sudden_change,year,month,anomaly_flags
2024-01-13,179,-11.966141648897404,True,True,9350.0,-9171.0,-98.0855614973262,True,2024,1,3
2024-01-14,9255,-0.5629420392187285,False,False,179.0,9076.0,5070.391061452514,True,2024,1,1
2024-03-22,11494,2.2501654889953033,False,True,11566.0,-72.0,-0.622514265951928,False,2024,3,1
2024-03-21,11566,2.3406271870888316,False,True,11743.0,-177.0,-1.507280933321979,False,2024,3,1
2024-03-20,11743,2.563012194902089,False,True,11611.0,132.0,1.1368529842390835,False,2024,3,1
2024-03-19,11611,2.397165748397287,False,True,11557.0,54.0,0.46724928614692396,False,2024,3,1
2024-03-18,11557,2.3293194748271406,False,True,11648.0,-91.0,-0.78125,False,2024,3,1
2024-03-17,11648,2.4436530099175724,False,True,11756.0,-108.0,-0.9186798230690711,False,2024,3,1
2024-03-16,11756,2.579345557057865,False,True,11790.0,-34.0,-0.2883799830364716,False,2024,3,1
2024-03-15,11790,2.622063581157587,False,True,11860.0,-70.0,-0.5902192242833052,False,2024,3,1
2024-03-14,11860,2.710012454304073,False,True,11889.0,-29.0,-0.24392295399108418,False,2024,3,1
2024-03-13,11889,2.7464484160361886,False,True,11796.0,93.0,0.7884028484231943,False,2024,3,1
2024-03-12,11796,2.6296020559987143,False,True,11841.0,-45.0,-0.3800354699771979,False,2024,3,1
2024-03-11,11841,2.68614061730717,False,True,11870.0,-29.0,-0.2443133951137321,False,2024,3,1
2024-03-10,11870,2.7225765790392855,False,True,11935.0,-65.0,-0.5446166736489317,False,2024,3,1
2024-03-09,11935,2.8042433898181653,False,True,11924.0,11.0,0.09225092250922509,False,2024,3,1
2024-03-08,11924,2.790422852609432,False,True,11833.0,91.0,0.7690357474858447,False,2024,3,1
2024-03-07,11833,2.6760893175189997,False,True,11753.0,80.0,0.6806772738875181,False,2024,3,1
2024-03-06,11753,2.5755763196373014,False,True,11622.0,131.0,1.1271726036826708,False,2024,3,1
2024-03-05,11622,2.4109862856060205,False,True,11535.0,87.0,0.7542262678803641,False,2024,3,1
2024-03-04,11535,2.3016784004096738,False,True,11616.0,-81.0,-0.6973140495867769,False,2024,3,1
2024-03-03,11616,2.4034478107648933,False,True,11683.0,-67.0,-0.5734828383120774,False,2024,3,1
2024-03-02,11683,2.4876274464908157,False,True,11575.0,108.0,0.9330453563714903,False,2024,3,1
2024-03-01,11575,2.351934899350523,False,True,11432.0,143.0,1.2508747375787264,False,2024,3,1
2024-02-27,11573,2.3494220744034804,False,True,11435.0,138.0,1.2068211630957586,False,2024,2,1
2024-02-25,11514,2.2752937384657277,False,True,11581.0,-67.0,-0.5785338053708661,False,2024,2,1
2024-02-24,11581,2.35947337419165,False,True,11528.0,53.0,0.4597501734906315,False,2024,2,1
2024-02-23,11528,2.292883513095025,False,True,11494.0,34.0,0.29580650774317035,False,2024,2,1
2024-02-22,11494,2.2501654889953033,False,True,11553.0,-59.0,-0.5106898641045616,False,2024,2,1
2024-02-21,11553,2.3242938249330556,False,True,11400.0,153.0,1.3421052631578947,False,2024,2,1
2024-02-17,11512,2.272780913518685,False,True,11447.0,65.0,0.5678343670830786,False,2024,2,1
2024-03-23,11473,2.2237808270513573,False,True,11494.0,-21.0,-0.18270401948842874,False,2024,3,1
